,NO,본번,부번,전용면적(㎡),계약년월,계약일,거래금액,층,건축년도
NO,1.0,0.010013222584438791,0.01656224263519483,-0.03598922207223311,-0.7753053044067794,-0.03687603118015098,-0.09182963892002545,-0.046892771274453265,-0.058933926955609596
본번,0.010013222584438791,1.0,-0.11591135506592302,-0.014673362900435959,-0.006795750827605871,0.0009216411513437163,-0.11062875062903518,-0.00895313103738294,0.2404628367126265
부번,0.01656224263519483,-0.11591135506592302,1.0,-0.021944999191340814,-0.01430078101219246,-0.007045798188330162,-0.0942698482121053,-0.056279135847019324,-0.13327184528001873
전용면적(㎡),-0.03598922207223311,-0.014673362900435959,-0.021944999191340814,1.0,0.03327325447450236,0.00019701059127888226,0.6502946517356442,0.17073313672037463,0.21152960037293275
계약년월,-0.7753053044067794,-0.006795750827605871,-0.01430078101219246,0.03327325447450236,1.0,-0.014430647854680047,0.06434294392251774,0.033352018245917964,0.03581371578131916
계약일,-0.03687603118015098,0.0009216411513437163,-0.007045798188330162,0.00019701059127888226,-0.014430647854680047,1.0,0.004253633536773075,-0.0020717727281464966,0.0016116054396401215
거래금액,-0.09182963892002545,-0.11062875062903518,-0.0942698482121053,0.6502946517356442,0.06434294392251774,0.004253633536773075,1.0,0.4034983943781092,0.5752039694373143
층,-0.046892771274453265,-0.00895313103738294,-0.056279135847019324,0.17073313672037463,0.033352018245917964,-0.0020717727281464966,0.4034983943781092,1.0,0.37463247108808595
건축년도,-0.058933926955609596,0.2404628367126265,-0.13327184528001873,0.21152960037293275,0.03581371578131916,0.0016116054396401215,0.5752039694373143,0.37463247108808595,1.0
